Entry,Word class,Etymology,Definition
godwit,n.,Probably originally imitative of the bird’s call.,"Any of the fairly large and long-legged migratory wading birds which constitute the genus Limosa (family Scolopacidae), having very long, straight or slightly upcurved bills and (typically) reddish breeding plumage."
goggle,v.,"Perhaps a frequentative of an onomatopoeic *gog, expressive of oscillating movement (compare jog, joggle).","Of persons: To turn the eyes to one side or other, to look obliquely, to squint."
golf,v.,Imitative.,"Of a pig: To grunt or snort, as in rage."
gollar/goller,v.,Echoic.,To emit a guggling sound’ (Jamieson).
golly,v.,Echoic.,To shout with a thick voice.
goo,v.,Onomatopoeic.,To make an inarticulate cooing or gurgling noise such as that made by babies and small children.
goo-goo,int.,Echoic.,An imitative representation of baby talk.
gothele,v.,Echoic.,"To make a low rumbling noise, as bubbles rising through water, or as is heard in the bowels."
granch,v.,"Onomatopoeic; compare grind, cranch.",Of the teeth: To gnash.
grash,v.,Onomatopoeic.,"To strike together or ‘grind’ the teeth, esp. from rage or anguish."
grassil,v.,Echoic.,"To make a harsh noise; to creak, rattle; also quasi-trans., to make a harsh noise with (the teeth or tusks), to gnash."
graunch,v.,Onomatopoeic.,"To make a crunching or grinding sound; trans., to cause to make such a sound."
grent,v.,? Onomatopoeic.,To gnash the teeth.
grinch,v.,Echoic.,To make a harsh grating noise.
grint,v.,Apparently an onomatopoeic formation.,To grind or gnash the teeth.
grolling,v.,? Echoic.,? Rumbling.
grouze,v.,? Echoic.,To devour or munch with a crunching sound.
growl,v.,Probably an echoic formation.,Of the bowels: to rumble.
grump,n.,"? Suggested by grunt (n.), with ending imitative of an inarticulate exclamation of displeasure.",Humps and grumps: slights and snubs.
grumph,v.,"Echoic, with suggestion <grunt (n.).",To grunt; said both of animals and human beings.
grundy,n.,Echoic.,Granulated pig-iron.
gubble,v.,Echoic.,To make the sound rendered by ‘gub’: a verb formed to imitate an inarticulate sound.
guddle,v.,Echoic.,To gargle.
guff,n.,Echoic.,"A puff, whiff."
guffaw,n.,Echoic.,A burst of coarse laughter; a loud or boisterous laugh.
gugg,v.,? Onomatopoeic.,"To wound, gall."
guggle,v.,Echoic.,To make a sound like that made by liquid pouring from a small-necked bottle.
guidguid,n.,Probably echoic.,"A ground-dwelling South American bird, Pteroptochos tarnii, belonging to the tapaculo group."
guit-guit,n.,Echoic.,"A name, presumably in imitation of the cry of a bird, used almost indefinitely for any species of the Neotropical genera Cæreba, Dacnis and their allies."
gulch,v.,Echoic.,To swallow or devour greedily.
gulp,v.,Echoic.,To swallow in large draughts or morsels hastily or with greediness.
gurk,v.,Echoic.,To belch.
gurl,v.,Echoic.,"To rumble, growl; (of the wind) to roar, howl."
gurr,n.,Echoic.,"A growl, snarl."
hackee,n.,Imitative of the animal’s warning cry.,"A North American ground squirrel or chipmunk, esp. the eastern chipmunk, Tamias striatus (also ground hackee)."
hadada(h),n.,Onomatopoeic from the bird’s raucous call.,"A large brown-green ibis, Hagedashia hagedash."
hallali,n.,Echoic.,A bugle call.
hap,v.,Probably imitative of a call to attract attention.,Of draught animals: to turn to the right (when directed).
harr,v.,Of echoic origin.,To snarl as a dog; to make a rough guttural trill.
harrumph,v.,Imitative.,A guttural sound made by clearing the throat.
hau-hau,v.,Echoic.,To utter the cry of a hyena.
haunk-haunk,n.,Echoic.,The cry of a hyena.
haw,"int., n.",Echoic.,An utterance marking hesitation.
haw-haw,"int., n., adj.",Echoic.,An expression of hesitation uttered repeatedly in an affected tone.
heck,v.,Echoic.,To cough slightly; to imitate the noise of a cough.
hee-haw,n.,Echoic.,A conventional representation of the bray of a jackass; a name for this.
hish,n.,Echoic.,"The rushing or whishing noise made by a scythe cutting grass, etc."
hish/hiss,v.,Echoic.,"To make the sharp spirant sound emitted by certain animals, as geese and serpents, or caused (e.g.) by the escape of steam through a narrow aperture, or uttered in the pronunciation of ’s’."
hist,"int., n.",Imitative.,"Used to enjoin silence, attract attention, or call on a person to listen."
hiz,v.,Echoic.,To make a hissing or whizzing noise.
hod,v.,? Onomatopoeic.,To bob up and down in riding; to jog.
honk,"n., int.",Imitative of the sound made by a wild goose.,Awild goose.
honk,v.,Imitative.,Of a wild goose or (occasionally) other bird: to make its characteristic harsh cry; to utter a honk or honks.
honky-tonk,"n., adj.",Origin unknown. Perhaps imitative of the sound of the music heard in such theatres.,"A disreputable entertainment venue, later spec. a cheap, sleazy bar or nightclub, typically one where country music is played."
hooshtah,int.,Echoic.,"A shout of encouragement, etc., to a camel."
hoss,v.,An onomatopoeic form akin to huzz (n.).,To buzz.
hough,v.,Echoic.,To clear the throat.
hub a dub,n.,"Echoic. Compare dub-a-dub, rub-a-dub.",The noise made by the beating of a drum.
huh-uh,int.,Imitative.,An expression of negation.
hurr,v.,Echoic.,To make or utter a dull sound of vibration or trilling; to buzz as an insect; to snarl as a dog; to pronounce a trilled r.
hush,n.,Echoic.,The sound made by water flowing swiftly but smoothly.
hush,v.,Echoic.,To send or let forth (water) with a rush.
huss,v.,"An echoic word, parallel to huss (n.).",To buzz.
hustling,n.,Echoic.,"Clashing, hurtling; ? rustling."
huzz,v.,Echoic.,To buzz.
iddy-umpty,n.,An imitative or expressive formation.,The Morse code; a dot followed by a dash in Morse code.
ish,v.,Echoic.,To make the sound ish! or sh! as in striking the air forcibly.
jabber/javer,v.,Apparently onomatopoeic.,"To talk rapidly and indistinctly or unintelligibly; to speak volubly and with little sense; to chatter, gabble, prattle."
jabble,v.,Apparently onomatopoeic.,"To shake or mix up together; to shake up or agitate (a liquid), to cause to splash."
jack-bird,n.,Echoic.,A local name for the fieldfare.
jam,v.,Apparently onomatopoeic.,"To press or squeeze (an object) tightly between two converging bodies or surfaces; to wedge or fix immovably in an opening, either by forcing the object in, or by the narrowing or closing in of the sides."
jar,v.,"In origin probably echoic, varying with gerre, charre, representing (with trilled r) a continued harsh vibratory sound.",To make or emit a harsh grating sound; to make a musical discord; to sound harshly or in discord with other sounds.
jarg,v.,Echoic.,"Of a door or gate: To make a creaking noise, to grate, jar, vibrate."
jasch,n.,Apparently onomatopoeic.,The dash of a wave.
jaup/jawp,v.,Apparently echoic.,To dash and rebound like water with splashing of the vicinity; to move with splashing; to splash; to make a light splashing sound.
jing,n.,Echoic.,"A sharp ring, a jingle."
jingle,v.,Imitative.,"To give forth a mingling of ringing sounds, as by the striking together of coins, keys, or other small metallic objects; it expresses a more prolonged and continuous sound than clink, and a more complicated one than tinkle."
jink,v.,Apparently onomatopoeic.,To move with quick sudden action; to move or dart with sudden turns; to move jerkily to and fro.
jirble,v.,Imitative of the characteristic sound.,"To spill (a liquid) by shaking or unsteady moving of the vessel; to pour out unsteadily; hence, to pour (liquid) from vessel to vessel."
job,v.,Apparently imitative of the sound or effect of a stab or prod.,"Of a bird: to peck. More generally: to penetrate into, to stab, pierce, or prod at."
jobble,n.,Apparently imitative of the sound and movement of the waves.,An agitated movement of water.
jopper,v.,Onomatopoeic.,To jolter or jolt.
joree,n.,"Echoic, from the call of the bird.","Any of several small American buntings, esp. the most common one, Pipilo erythrophthalmus."
jot,v.,Apparently onomatopoeic.,"To jog, jolt, bump."
jower,v.,? Onomatopoeic.,To growl; to scold; to mutter or grumble in an undertone.
jub,n.,Apparently onomatopoeic.,"A thrust or knock with something blunt, a jog; the jog of a trotting horse."
juck/juke,v.,Echoic.,"To make a sound or call imitated by this word, as a partridge."
jug,v.,Echoic.,Of the nightingale or other bird: To utter a sound like ‘jug’.
jur,v.,Echoic.,"To butt with (or as with) the horns or head. Said of a ram, a battering-ram, etc."
jut,v.,Apparently onomatopoeic.,"To strike, knock, or push against something."
kaak,v.,Imitative.,Of a crow: to caw.
kae,v.,Imitative.,The cry of a jackdaw.
katydid,n.,Echoic.,"A large longhorn grasshopper of the family Tettigoniidæ, of arboreal habits, which produces by stridulation a noise to which its name is due."
keak,v.,Imitative.,To cackle.
keck,v.,Echoic.,To make a sound as if about to vomit; to retch; to feel an vomit; to retch; to feel an inclination to vomit.
keelie,n.,Imitative of the bird’s cry.,A local name for the sparrow-hawk or kestrel.
kewt,v.,Imitative.,To mew as a cat.
kill-cu,n.,Imitative.,"A name of two American species of yellowshanks (Totanus melanoleucus and T. flavipes), related to the snipes."
killdee/killdeer,n.,Imitative of the note.,The largest species of ring-plover (Ægialitis vocifera) of North America.
kiskadee,n.,Echoic.,"A tyrant flycatcher, Pitangus sulphuratus, found in Central and South America."
ki-yi,v.,Echoic.,"To howl or yelp as a dog, or utter a sound compared to this."
kling-kling,n.,Echoic.,"A Jamaican name for a grackle, Quiscalus niger."
klop,n.,Echoic.,The sound of the impact of something solid on a hard surface.
knal,n.,Echoic.,"A stroke, knock, esp. on the head."
knap,v.,Echoic.,"To strike with a hard short sound; to knack, knock, rap."
knickety-knock,"adv., n.",Echoic.,An echoic word imitating an alternation of knocking sounds; hence adverbially: striking from side to side with alternation of sound.
knoll,n.,"Formed with knoll (v.), from same root as knell (n.), perhaps with later onomatopoeic modification.","An act, or the action, of ‘knolling’ or tolling a bell; the sound of a large bell."
kyoodle,v.,Imitative.,"To make a loud noise; to bark, to yap."
lab,v.,? Onomatopoeic.,To blab.
la-di-da,n.,"Onomatopoeic, in ridicule of ‘swell’ modes of utterance.",A derisive term for one who affects gentility; a ‘swell’.
laldy,n.,"Of uncertain origin: probably imitative, but perhaps ultimately < Old English læl whip, weal, bruise.","A beating, a thrashing; punishment."
lall,v.,"Echoic, after Latin lallāre.","To say ‘lal, lal’; to speak childishly."
lamp,v.,? An onomatopoeic formation suggested by limp (v.).,To go quickly by taking long steps’ (Jamieson).
lantum,n.,Probably merely echoic.,"A kind of accordion or concertina, shaped and played like a hurdy-gurdy."
lash,v.,"An onomatopoeic origin is possible, and is favoured by the early appearance of the parallel and nearly synonymous lush (v.); compare dash, dush, flash, flush, mash, mush, smash, smush, etc.",To move swiftly and suddenly.
lill,v.,Onomatopoeic.,To loll or hang (the tongue) out (rarely forth).
lob,n.,Perhaps onomatopoeic in origin.,The pollack.
loblolly,n.,Perhaps onomatopoeic.,"Thick gruel or spoon-meat, frequently referred to as a rustic or nautical dish or simple medicinal remedy; burgoo."
log,v.,? Onomatopoeic.,"To rock, move to and fro."
logger,v.,? An imitative formation.,To hang loosely and largely’ (Jamieson).
lop,n.,Onomatopoeic.,A state of the sea in which the waves are short and lumpy.
lop,v.,Perhaps onomatopoeic of origin.,To hang loosely or limply; to droop; to flop or sway limply about.
losh,v.,? Onomatopoeic.,? To fall with a splash; to go stumbling.
lounder,n.,? Onomatopoeic.,"A heavy, swingeing blow."
loune,v.,Echoic.,To utter the cry of the crane.
lout,v.,? Echoic.,To low or bellow.
lull,v.,"Imitative of the repetition of /lʌ lʌ/ or similar sounds, appropriate to the purpose of singing a child to sleep.",To soothe with sounds or caresses; to induce to sleep or to pleasing quiescence.
lulla,int.,Onomatopoeic.,To soothe with a lullaby; to sing to sleep.
lulliloo,v.,Imitative.,To utter the cries by which certain African peoples express delight.
lunch,n.,Apparently onomatopoeic.,The sound made by the fall of a soft heavy body.
maa,"v., int.",Imitative.,Of a sheep or lamb: to utter its distinctive cry; to bleat.
maule,"v., int.",Imitative.,To cry like a cat; to mew.
meep,"n., int.",Imitative.,"A short, high-pitched sound."
mew/mewt,v.,Imitative.,Of a cat (occasionally of other animals): to make its characteristic cry; to utter a mew.
mewl,v.,Imitative.,"Esp. of an infant: to cry feebly, to whimper; to make a whining noise."
miaow,v.,Imitative.,Of a cat: to make its characteristic cry.
miff,n.,"Perhaps originally an exclamation of imitative origin; perhaps compare Middle High German muff, mupf, interjection expressing disgust (also miff muff, with reduplication and variation of the vowel), also used as noun denoting the corresponding gesture or facial expression.","A fit of pique, a huff; a petty quarrel, a tiff."
mim,"adj., adv.",Perhaps imitative of the action of pursing up the mouth.,"Reserved or restrained inmanner or behaviour, esp. in a contrived or priggish way; affectedly modest, demure; primly silent, quiet; affectedly moderate or abstemious in diet (rare)."
mimp,"n., adj.",Perhaps imitative.,"A prim, or affectedly modest or demure, woman."
mm,"int., n.",Imitative.,"Expressing satisfaction, approval, or assent."
moo,"n., int.",Imitative.,The lowing sound made by a cow or other bovine animal; an imitation of this.
mop,"n., int.",Apparently imitative.,"Originally: a concluding rhythmic flourish to a piece of jazz music. Hence: the conclusion, the final outcome of any situation."
morepork,n.,Imitative of the boobook owl’s usual call.,Originally and chiefly: the boobook owl.
mph,int.,Imitative.,"Expressing disapproval, doubt, or dissatisfaction."
mphm,int.,Imitative.,"Expressing disapproval, doubt, or dissatisfaction."
muff,v.,Perhaps imitative of an inarticulate sound.,Chiefly in negative contexts: to utter a word; to speak.
muffle,v.,Perhaps imitative.,To speak indistinctly.
mum,"n., int., adj.",Imitative.,"An inarticulate sound made with closed lips, usually as an indication of inability or unwillingness to speak; (in a negative context) the slightest utterance."
mum,v.,Apparently ultimately < an imitative base.,"To utter a faint sound; to speak softly or indistinctly; to whisper; to mutter, mumble."
mump,"n., adj.",Probably < an imitative base.,"A grimace, a moue; an exaggerated facial expression."
mump,v.,Apparently < an imitative base of Germanic origin.,To grimace; to form the lips into a grimace or grin; to convey a thought or meaning indirectly by one’s facial expression.
murr,v.,Imitative.,To make a harsh noise.
murre,n.,"Origin uncertain: probably imitative of the adult guillemot’s call, and transferred to the other species.","Originally (now Brit. regional): any of various guillemots and other auks, esp. the razorbill."
muruk,n.,Probably originally imitative.,"A cassowary; spec. the dwarf cassowary, Casuarius bennetti, native to the highlands of New Guinea and New Britain."
mustle,v.,Probably imitative.,"To murmur, make a noise."
mwah,"n., int.",Imitative.,"An exaggerated kiss, esp. one given on the cheek to a social acquaintance; an air kiss."
nicker,v.,Apparently < an imitative base.,"Of a horse, donkey, etc.: to make a soft noise, as when recognizing a foal or being offered a titbit."
niminy-piminy,adj.,Imitative of affected speech.,"Mincing, affected; without force, drive, or spirit."
nipper,v.,Imitative.,"To whisper, to gossip."
nuh-uh,adv.,Imitative.,No; used esp. to rebuff or contradict.
num,"int., v.",Imitative.,"An exclamation of pleasurable anticipation, with implication of sensual or gustatory satisfaction."
nummy,"adj., int.",Imitative.,"Of food: delicious, yummy, especially tasty or tempting."
nyaff,v.,Imitative.,"Of a (small) dog: to yelp, bark. Hence, of a child or small or insignificant person: to speak in a cheeky or peevish manner; to whinge."
nyah,"int., n., adj.",Imitative.,Expressing the speaker’s feeling of superiority or contempt for another.
oink,"int., n.",Imitative.,Representing a grunting sound made by a pig or (occasionally) a similar sound made by another creature. Also representing a human imitation of such a sound.
oompah,"n., int.",Imitative.,The repetitive rhythmical sound characteristic of a deep-toned brass instrument in a band; a sound or musical accompaniment resembling this.
oomph,n.,Imitative.,"The quality of being exciting, energetic, or sexually attractive; energy, vigour."
ooyah,int.,Imitative.,Expressing sudden pain.
ou,int.,Probably imitative.,"Expressing surprise, excitement, or a similar emotion."
ouch,int.,Imitative.,A representation of the bark of a dog.
ouff,"v., int.",Imitative.,Of a dog: to bark.
ough,"int., n.",Imitative.,"In early use: used in imitation of a sound denoting various sentiments, some also expressed by och, oh, ooh, etc."
paff,"int., n.",Imitative.,"Used to represent the sound of an impact, blow, explosion, etc.: ‘bang!’, ‘pow!’"
pah,"int., adj.",Imitative.,Expressing disgust or disdain.
pamp,v.,Imitative.,To pamper with food; to fatten.
pang,"int., n.","Probably imitative, perhaps after bang (n.).","Representing a short resonant sound, such as that produced by the striking of metal, etc."
pash,v.,Imitative.,"To hurl or throw (something) violently, so as break it against something or smash something with it."
pat,v.,Imitative.,Representing a patting sound; with a pat.
pech,v.,Apparently imitative.,"To breathe hard, as from exertion, or with difficulty; to puff, to pant; to become short of breath."
peeoy,n.,Imitative.,A kind of home-made firework consisting of a small cone of damp gunpowder which is lighted at the top.
peesweep/peeweep/peewit,n.,Imitative of the bird’s call.,"The lapwing, Vanellus vanellus."
peetweet,n.,Imitative of the bird’s call.,"The spotted sandpiper of North and South America, Actitis macularia."
petchary,n.,Imitative of the bird’s call.,"The grey kingbird, Tyrannus dominicensis."
petter,v.,Imitative.,"To make a light, rapid, repetitious sound."
pew,n.,Imitative.,"The thin cry of a bird, esp. of the kite."
pew,v.,Imitative.,"Of a bird, esp. a kite: to cry in a plaintive manner."
pew,int.,Imitative.,"Expressing contempt, disgust, or derision."
pewewe,int.,Imitative.,Representing the plaintive call of some birds of prey.
phah,n.,Imitative.,An ejaculation expressing contempt or disgust.
pheal,n.,Imitative.,The cry of the jackal when hunting.
phew,"int., n.","Imitative, representing the action of puffing or blowing away with the lips.",The cry of the jackal when hunting.
phit,int.,Imitative.,"Representing various sounds, esp. of a short explosive nature, as the brief rapid expulsion of air, the sound made by a rifle bullet, etc."
pho,int.,Imitative.,Expressing contemptuous rejection or dismissal.
phoo,int.,Imitative.,"Expressing contemptuous rejection, cursory dismissal (of a proposition, idea, etc.), disagreement, or reproach."
phu,"int., n., adj., adv.",Imitative.,"A brief plosive sound, such as the noise made by the escape of a small quantity of air under pressure, or by the passage of a bullet, or the sound of a small muffled explosion."
phwoar,int.,Imitative.,"As an enthusiastic expression of desire, approval, or excitement, esp. in regard to sexual attractiveness: ‘cor!’ ‘wow!’"
piff,v.,Imitative.,"To blow, play (on a flute)."
piff,int.,Imitative.,"Representing the sound of a short, abrupt displacement or passage of air as caused by the flight of a bullet, a small explosion, etc."
piffle,v.,Probably imitative.,"To talk or behave in an ineffectual way; to talk nonsense, to witter; to dither or fiddle."
pimlico,n.,Imitative of the bird’s call.,"Audubon’s shearwater, Puffinus lherminieri."
pinchem,n.,Imitative of the bird’s call.,"The blue tit, Parus caeruleus."
pinc-pinc,n.,Ultimately imitative of the bird’s call.,"Any of several small South African warblers of the family Sylviidae; esp. the cloud cisticola, Cisticola textrix."
ping/pinge,"n., int.",Imitative.,"Representing a short, resonant, high-pitched (usually metallic) sound, as that made by the firing of a bullet, the ringing of a small bell, etc."
ping-pong,n.,Imitative of the distinctive sounds emitted during the game when the ball makes alternate contact with the bat and the table.,The game of table tennis.
ping-pong,n.,Imitative of the sound of the drum.,Also more fully ping-pong drum. A drum which supplies the melody in a Caribbean steel band; a tenor pan.
pink,"n., int.",Imitative.,Something which makes a short sharp noise.
pink,v.,Probably imitative.,"To trickle, to drip; to make a tinkling sound while dripping."
pip,n.,Imitative.,"A short, high-pitched electronic tone used as a signal."
pip,v.,Imitative.,To toot or beep (a person) with the horn of a vehicle; to sound (a horn).
pipit,n.,Probably imitative.,"Any of several typically ground-dwelling songbirds with brown-streaked plumage, of the cosmopolitan genus Anthus or related genera (family Motacillidae)."
pip-pip,"int., n.",Imitative.,"Imitating a repeated, short, high-pitched sound, esp. one made by a car or bicycle horn."
pip-pop,"int., n.",Imitative.,Imitating the sound of gun fire.
piramidig,n.,Imitative of the bird’s call.,"The common nighthawk, Chordeiles minor."
pirn,n.,Origin uncertain. Perhaps imitative.,"A bobbin, spool, or reel."
pirrie,n.,Apparently imitative.,"A sudden, strong blast of wind; a squall; a storm."
pish,"int., n.",Imitative.,"Expressing contempt, impatience, or disgust."
pist,int.,Imitative.,"Used to attract attention, or to convey important or secret information."
pit,int.,Imitative.,"Representing a sharp light sound, as of water against a windowpane."
pit-a-pat,"adv., n., adj.","Imitative, expressing rapid, light, alternating sounds.","With a series of rapidly alternating or repeated light sounds, as of a quick heartbeat, footsteps, etc."
plap,v.,Imitative.,To come down or fall with the sound of a flat impact; to make a light slapping sound.
plapper,v.,Imitative.,"To make a gentle repetitive slapping or plopping sound, as by moving the lips, splashing water, etc."
plash,"n., int.",Apparently ultimately imitative.,"The sound made when a body strikes the surface of water so as to break it up, or plunges into or through it."
plash,v.,Apparently ultimately imitative.,"To break the surface of, plunge into, or otherwise stir up (water or other liquid) with commotion and splashing."
platch,v.,Apparently ultimately imitative.,To walk through mud or mire.
pleep,n.,Imitative.,"A shrill piping cry, esp. that of a wading bird; the weak peeping cry of a young bird."
plink,v.,Imitative.,"To cause (something) to emit a short, sharp, metallic tinkling or ringing sound."
plip,"int., n.",Imitative.,"Representing a small, abrupt, hollow sound, as of an object dropping into water, a bubble bursting softly, etc. "
plish,n.,Imitative.,A splashing sound.
plonk,v.,Imitative.,To hit or strike (someone or something) with a heavy thud.
plop,v.,Imitative.,"To fall or move with or as with a plop, esp. when, or as if, landing in water."
plout,n.,Imitative.,"The action of plunging or submerging, esp. in plout kirn n. (also plout churn) a churn operated by a plunger."
plout,v.,Imitative.,"To plunge, submerge."
pluff,"n., adj., int.",Imitative.,A blowpipe.
pluff,v.,Imitative.,"To puff; to blow out with a puff, esp. suddenly or explosively."
plump,v.,Ultimately imitative.,To land with a splash; to plunge into water.
plump,"adv., int., adj.",Ultimately imitative.,"With an abrupt or heavy fall or drop; with a thud or a sudden impact; suddenly, unexpectedly."
plung,"int., n.",Imitative.,Representing the resonant sound made by a tennis racket striking a ball.
plunk,"n., adv., int.",Imitative.,A large sum; a fortune.
plup,"n., int.",Imitative.,A soft splashing or popping sound.
pob,"int., adv.",Imitative.,"Representing an abrupt, heavy sound, as of an inelastic body striking a hard surface."
pobblebonk,n.,Imitative.,"Either of two Australian frogs of the genus Limnodynastes (family Myobatrachidae) having a loud, twang-like, single-note call."
pock,n.,Imitative.,"An abrupt percussive sound, as of a bat striking a ball, a bullet striking a wall, etc."
pocketa-pocketa,"int., n.",Imitative.,"Representing a series of rapidly repeated percussive sounds, such as those made by an internal combustion engine."
podge,v.,Imitative of the thudding sound of footsteps.,To walk slowly and heavily.
poh,"int., v.",Imitative.,Expressing contemptuous rejection.
pong,"n., int.",Imitative.,"A blow, a bang; a short, resonant, low-pitched sound."
poof,"int., n.",Imitative.,"Expressing contempt, disgust, or distaste as conveyed by the emission of a short sharp puff of breath."
pooh,"n., int.",Imitative.,An utterance of ‘pooh’.
poop,v.,Imitative,"To produce a short blast of sound, as with a horn; to blow, toot; to make a gulping sound in drinking."
poorwill,n.,Imitative of the bird’s call.,"More fully common poorwill. A small white-throated nightjar of western North America, Phalaenoptilus nuttallii, which is the only bird known to hibernate regularly in cold weather."
poot,"n., int.",Imitative.,"An act of breaking wind, a fart."
pop,n.,Imitative.,"A blow, a knock, a punch; a slight rap or tap."
pope,n.,Imitative of the booming sound made by the bird’s wings during its diving display flight.,"The nighthawk, Chordeiles minor."
popple,v.,Apparently imitative.,"To flow in a tumbling manner, as water from a spring or over a pebbly surface; to tumble about, as boiling or otherwise agitated liquid; to bubble up; to ripple."
potoo,n.,Probably imitative of the bird’s call.,"Any of several nocturnal, insectivorous tropical American birds constituting the genus Nyctibius."
potrack,n.,Imitative of the bird’s call.,Representing the call of a guineafowl.
pow,int.,Imitative.,"Representing the sound of a blow, punch, shot, etc.: ‘Wham!’, ‘Bang!’"
pring,n.,Imitative.,The sound made by a bell.
pring,v.,Imitative.,To make a sound like a bell.
proo,int.,Apparently imitative.,"Used as a call to a cow or calf, or to command a horse to stop, stand still, etc."
prut,"int., n.",Imitative.,"An exclamation of contempt, disbelief, etc."
pshaw,"int., n.",Imitative.,"Expressing contempt, impatience, or disgust, or used to depreciate or dismiss some statement or notion."
psht,int.,Imitative.,"Expressing caution, surprise, or impatience."
psst,"int., n.",Imitative.,"Used to attract attention or give warning, esp. surreptitiously."
pst,int.,Imitative.,Expressing a whispered signal for silence.
ptish,int.,Imitative.,An exclamation of contempt or disdain.
ptui,int.,Imitative.,Representing the sound of a person spitting; (hence) expressing disgust or contempt: ‘Pah!’ ‘Pshaw!’
pudge,v.,Imitative of the heavy sound of thudding footsteps.,To walk or move slowly and heavily; to trudge.
puff,v.,Imitative of the action and sound of emitting a puff of breath from the lips.,"To blow out (air, one’s breath, smoke, etc.), esp. in a short abrupt blast or blasts; to emit in puffs."
puff-puff,n.,Imitative.,The sound of repeated puffing by a steam engine; (esp. in children’s language) a steam locomotive or steam train.
punk,v.,Apparently imitative.,"To force, thrust, or propel in a specified direction."
pup,"v., int.",Imitative.,To make a dismissive or contemptuous sound with the lips.
purl,n.,Imitative of the bird’s call.,A tern.
purl,v.,Imitative.,"Of a cat: to purr. Also in later use, esp. of an engine: to make a sound resembling a cat’s purr."
purr,n.,Imitative.,"An act of purring; the low vibrating sound made by a cat, usually when pleased or contented."
purr,v.,Imitative.,"Of a cat or another feline animal: to make a low, continuous, vibratory sound taken to be expressive of satisfaction or pleasure."
purr,int.,Apparently imitative.,Used as a call to pigs or turkeys. Formerly also in extended use.
purre,n.,Imitative of the purre’s trilling call.,"The dunlin (Calidris alpina) in its winter plumage, formerly thought to be a separate species."
push,"n., int.",Imitative.,An utterance of ‘push’; to make a push at: to treat with disdain.
put-put,"adj., n.",Imitative of the sound of an internal combustion engine.,"Of a device, engine, vehicle, etc.: that makes a rapid intermittent sound, esp. one characteristic of a small internal combustion engine."
put-put,v.,Imitative of the sound of an internal combustion engine.,To make a rapid intermittent sound characteristic of a small internal combustion engine.
putter,v.,Imitative of the sound of an internal combustion engine.,"To make a rapid, intermittent sound, esp. that of small internal combustion engine."
py hy,int.,Imitative.,Representing the sound of laughter.
quack,n.,Probably imitative.,A state of hoarseness or croakiness in the throat.
quack,v.,Imitative.,Of a duck: to make its characteristic harsh sound.
quack/quake,"int., n.",Imitative.,"Representing the characteristic harsh sound of a duck, or a noise resembling this."
quafer,v.,Probably imitative.,To find (a thing) by feeling about.
qualm,n.,Apparently imitative.,The sound of the cry of a raven.
quank,"int., n.",Imitative.,Representing a harsh croaking or honking sound made by certain birds and animals.
quawk,n.,Imitative.,"The black-crowned night heron, Nycticorax nycticorax, which has a deep, hoarse call."
quawk,v.,Imitative.,"Of a bird or other creature, esp. a rook, crow, or domestic fowl: to utter a harsh call or quawk; to squawk."
queck,"int., n.",Imitative.,Representing a choking sound or a death rattle.
queef,n.,Probably imitative.,"An audible release of air from the vagina, typically during or after sexual intercourse."
quelch,v.,Imitative.,To make squelchy sounds.
quirk,v.,Apparently imitative.,"To grunt, croak, groan, sigh, etc.; to grumble, complain."
quiz,v.,Imitative.,To make a whirring sound.
quop,v.,Imitative.,"To tremble, wriggle, writhe; to throb, pulsate, palpitate."
raish,n.,Imitative.,A harsh swish.
ralph,v.,"Apparently imitative, probably after the male forename Ralph.",To vomit.
ramp,v.,Imitative.,To eat greedily or noisily.
randan,n.,Probably imitative.,"Riotous or disorderly behaviour; a rowdy celebration or excursion, a spree."
ran-tan,v.,Ultimately imitative.,"To vituperate, rail against, or upbraid a person."
ran-tan,int.,Ultimately imitative.,"Representing a loud and repetitive banging noise, esp. that made by knocking or drumming."
rap,n.,Probably imitative.,"Senses relating to a blow, stroke, or loud noise."
rash,n.,Imitative.,A rustling or scraping noise.
rasteling,n.,Origin uncertain. Probably ultimately imitative.,"Perhaps: a disturbance, a commotion."
ratamacue,n.,Imitative.,"One of the basic patterns or rudiments of drumming, consisting of a triplet preceded by a two-stroke drag and followed by an accented beat."
rat-a-tat/tattartattar,"int., n., adj.",Imitative.,"Representing or imitating a series of short, sharp, rapping or tapping sounds, as produced by firing a gun, knocking at a door, etc."
rattan,n.,Imitative.,A drumming or beating noise; a tattoo.
rat-tat/tat-tat,"n., int., adj.",Imitative.,"A sharp rapping sound, esp. of a knock at a door or of reports from a gun, etc."
ribbit,n.,Imitative.,"Representing the characteristic sound made by a frog, or an imitation of this."
rickle,v.,Origin uncertain. Probably ultimately imitative.,"To make a rattling, clattering, or jingling sound."
ricky-tick,"n., adj., adv.",Imitative.,"A style of jazz regarded as old-fashioned or unsophisticated, esp. as characteristic of the 1920s; ragtime."
riff,v.,Ultimately imitative of the sound of pages being flicked through.,"To flick through (papers, books, etc.); to thumb (a block of paper, a book, etc.), releasing the leaves in (usually rapid) succession."
riff-raff,n.,Probably a reduplicative formation (with variation of the vowel) of imitative origin.,"A tumult, a racket; the sound of this."
rifty-tufty,adv.,Probably a reduplicative formation ultimately of imitative origin.,In disorderly haste or confusion; helter-skelter.
