Entry,Word class,Etymology,Definition
brattle,n.,"This and its verb are onomatopoeic, probably with association of break, brast and rattle.","A smart rattling sound, esp. of something breaking or bursting."
brr-brr,int.,An imitative or expressive formation.,"Representing a repetitive mechanical or electronic noise, esp. that of a telephone’s buzzer or ringtone."
brrr,int.,An imitative or expressive formation.,"Used as an exclamation to accompany a shiver of cold, fear, disquiet, etc."
brum,v.,"Probably ultimately imitative of a humming, murmuring, or rumbling sound.","To murmur, to hum."
brum,"n., int.",Apparently imitative of a droning or rumbling sound.,Representing a humming or murmuring sound.
bruzz,v.,Imitative.,To growl as a bear.
buff,v.,Probably onomatopoeic.,"To speak with obstructed and explosive utterance, to stutter."
buff,"n., int.",? Onomatopoeic.,"To say neither buff nor baff, not to say buff to a wolf’s shadow (obs.)"
buffle,v.,? Onomatopoeic; connected with some sense of buff.,–
buln-buln,n.,Imitative.,An Australian Aboriginal name for the lyre-bird.
bum,"n., int.",Imitative.,To say neither ba nor bum: not to say a word.
bum,v.,"? Onomatopoeic, imitating the motion of the lips in drinking.",To taste (drink); to drink.
bumble,n.,Onomatopoeic.,"A confusion, jumble."
bump,n.,Onomatopoeic: the v.n. of action being probably coeval.,"A blow somewhat heavy, but rather dull in sound; a sudden collision, more or less violent."
bump,v.,Of echoic origin.,Aword used to express the cry of the bittern.
bunch,v.,Etymology obscure: perhaps onomatopoeic.,"To strike, thump; to bruise flax, etc., by beating it."
bung,v.,Echoic.,To throw (violently); to send; to put forcibly.
bungle,v.,Apparently onomatopoeic.,To do or make in a clumsy or unskilful manner.
burp,v.,Imitative.,To belch.
burr,n.,Apparently imitative of the sound.,"A rough sounding of the letter r; spec. the rough uvular trill (= French r grasseyé) characteristic of the county of Northumberland, and found elsewhere as an individual peculiarity."
buzz,n.,"Perhaps onomatopoeic, with the general sense of ‘loose down’, ‘flocky substance’.","The rough setose or pilose seed-vessel of a plant, a bur."
buzzle,v.,? Onomatopoeic.,"To distend, fill out."
byss,v.,Onomatopoeic.,To sing or hum (children) to sleep.
calloo,n.,Imitative of the call of the male long-tailed duck.,A kind of duck found in the Arctic.
cangle,v.,Perhaps onomatopoeic.,"To dispute acrimoniously, to wrangle."
cank,v.,Imitative of the sound.,"To cackle as geese; to talk rapidly, to chatter."
caw,v.,"Imitative of the call of a crow, rook, raven, etc.","Of a crow, rook, raven, or other bird: to make its characteristic harsh sound."
caw,"int., n.","Imitative of the call of a crow, rook, raven, etc.","Representing the characteristic harsh call of a crow, rook, raven, or other bird, or a sound resembling this."
cawk,n.,Imitative.,"The cry of some birds, rooks, divers, etc."
chaak,n.,Imitative.,The cry of the jackdaw.
chack,v.,Imitative of the sound and action.,"To snap with the teeth; . . . also to make a noise like that of snapping teeth, to clack, clatter, click."
chack-chack,n.,Imitative.,The cry of the fieldfare and wheatear.
chang,n.,Imitative.,A ringing or resonant sound; a representation of this.
channer,v.,Probably imitative.,"To grumble, complain; to chide, scold, nag; to mutter, murmur."
charr,n.,? Echoic.,A term applied to some of the notes of the nightingale.
chatter,v.,An onomatopoeic word of frequentative form.,"To utter a rapid succession or series of short vocal sounds; now applied to sounds approaching those of the human voice, e.g. of starlings, magpies, etc., but originally used more widely, so as to include what is now called the ‘twitter’ of sparrows, swallows, etc."
cheep,v.,An imitative or expressive formation.,"Of a small animal, esp. a young bird or a mouse: to make a thin, high-pitched cry."
cheet,v.,Apparently imitative of the high-pitched cry of a bird or small animal.,"To chirp, cheep; to squeak."
cheet,"int., n.",Apparently imitative of a sound made to encourage a cat to approach.,Representing the sound made to encourage a cat to approach.
che-ho,v.,Echoic.,To sneeze.
chewink,n.,An imitative or expressive formation.,"A towhee (genus Pipilo, family Emberizidae)."
chick1,v.,Imitative of sound.,"Of chickens: To chirp, cheep."
chick2,v.,Onomatopoeic. Closely denoting the sudden action of breaking which the sound there expressed often accompanies.,"To sprout, shoot, germinate; to ‘chip’."
chicker,v.,Imitative of the sound.,To chirp as a cricket.
chink,n.,An echoic word.,"An imitation of the short, sharp sound produced by pieces of metal or glass striking one another; hence a name for this sound."
chinkerinchee,n.,"Said to be onomatopoeic, from the squeaky sound produced when two flower-stalks are rubbed together.",A popular name for the liliaceous bulbous plant Ornithogalum thyrsoides.
chirl,v.,Imitative of the sound.,"To warble, to utter a long note with modulation; sometimes, to emit a low melancholy sound."
chit,v.,Imitative of the sound.,To chirp.
chit-chit-chat,n.,Imitative of the sound.,–
chock,n.,Imitative.,"A short hollow sound, such as that produced by hammering or chopping, by a heavy object striking a hard surface, etc."
