,a,b,d,e,f,h,i,j,k,l,m,n,o,p,s,t,u,v,w,z,æ,ð,ŋ,ɑ,ɔ,ə,ɛ,ɡ,ɪ,ɹ,ʃ,ʊ,ʌ,θ
mellow,0.08285396884788167,0.11926325224339962,0.1131772273392589,0.13253459831078848,0.11301058088970739,0.06894771242514253,0.07369993046364363,0.09302811487577856,0.09884228099447985,0.11897398427956635,0.09543922318047598,0.09806645344942808,0.10201545059680939,0.10617408252531482,0.10083828804393609,0.10237657384843463,0.07327468257397413,0.14532728493213654,0.087517282137504,0.0981151657178998,0.11168499159462311,0.11620479822158813,0.11562152120929498,0.10436189989559352,0.08550482589219298,0.13752337415581165,0.16976074874401093,0.11886132265562596,0.1127805669062041,0.11435370635369728,0.09872727934271097,,0.11560501438983972,0.12226597405970097
heavy,0.06683863854656617,0.10317897384888247,0.10649713219115228,0.07008493691682816,0.08184117501458296,0.09680869278963655,0.11404346742413261,0.05580506375169053,0.09740673837441842,0.11038830747658557,0.07406886368989944,0.11528376589218775,0.07127745375037194,0.09609408382522433,0.09693422580532955,0.1196581497310828,0.0630878135561943,0.02629894856363535,0.07468140276947192,0.1053486417979002,0.08213468972179624,,0.12249863591599972,0.09548259575967677,0.08818460270189322,0.14442848600447178,0.12186738923192024,0.10175160380701224,0.13357161697266356,0.11356508819800284,0.09419226036830382,0.0750216655433178,0.11784101329460929,0.10763342057665189
light,0.030435435802621,0.032367899492383,0.03386954065146191,0.03414724270502726,0.03432038640507411,0.026302102729678156,0.02564311690741416,0.029029759711452892,0.030410892263587033,0.034799731041079966,0.028252050642751984,0.03388045787652756,0.03031137476985653,0.03413492122073044,0.03148550427583761,0.03282865069295261,0.023267402821643787,0.03619817396004995,0.026653839572471506,0.028210251991237913,0.03297927165717891,0.03272855654358864,0.033856394523311226,0.033162202449007465,0.028721070537964504,0.03720215646659627,0.0305123267074426,0.029935980425967325,0.03262333988302177,0.03243851799878382,0.02861806427439054,0.04531887546181679,0.03238065750666068,0.03445413584510485
inhibited,0.27374655434063505,0.16106170834973454,0.18074752969874275,0.17312403544783592,0.17203104721777368,0.11760037671774626,0.14483852411309878,0.1849665290210396,0.17827723594382405,0.19984106634828178,0.1667112699151039,0.23345178477466105,0.2847284972667694,0.15255248288695628,0.18830747551777782,0.2053857460477442,0.13760021105408668,0.25866392254829407,0.1658060363261029,,0.17695140689611435,,0.24089552812716541,0.18495356664061546,0.18236947006412915,0.25224939982096356,0.15533772110939026,0.21291419410187265,0.19907823448831385,0.23260100816304868,0.15754586830735207,0.23036808148026466,0.16825516166863963,0.19053774178028107
free,0.024686682051313774,0.030348217691339198,0.03076801579841908,0.027376413683999668,0.028111859360057063,0.025106523976181492,0.023624050024423807,0.024436304032609893,0.026818722794750626,0.03006061392338717,0.024717712063201756,0.029554216534291442,0.02600388622588732,0.029300134390765845,0.02755832651630044,0.029525248770165692,0.020440483256580606,0.02484095422551036,0.023820741715329424,0.024522613695201773,0.027356060622096584,0.02775765024125576,0.03079709475455077,0.029253898118372246,0.025826998431473337,0.03236057439782811,0.03278113446301884,0.028553538853884675,0.029778404329277454,0.028754490378655885,0.02692540413276716,0.023248642683029175,0.030749272943163913,0.027811250028510887
masculine,0.14081032098167473,0.2352817834665378,0.24988635230277265,0.3765913744767507,0.1995310858474113,0.2181554479818595,0.2478381716646254,0.16593847974486972,0.2272659729461412,0.23909173731546884,0.17063343715529108,0.2612001116459186,0.17964346947915413,0.19714813069047699,0.20924741093968524,0.2701415285185168,0.12242470562458038,0.14732089887062708,0.15850584366371934,0.16852718272379466,0.1937548734602474,,0.24879755199487721,0.24087290444544385,0.20055622926780156,0.32918833050785995,0.28388805580990656,0.25350769029723275,0.24678016713885373,0.2676317331545493,0.17884129686997488,0.18046460300683975,0.2655363868497595,0.22915207346280417
feminine,0.07902963335315387,0.07313733423749606,0.07121853530406952,0.05875593423843384,0.07880430881466184,0.0560805710653464,0.05666678520324438,0.07816978306932883,0.05995492848257224,0.07191068207612261,0.06510260153342695,0.07995236582226223,,0.06790890834397739,0.06552010532468558,0.07374170184906187,0.05598879000172019,,0.05793490447103977,0.053456444293260574,0.07135149911046028,0.0786595270037651,0.08413591874497277,0.0681854027012984,0.052187446504831314,0.08694812249053609,0.09445444494485855,0.08421951284011205,0.07716372708479563,0.07572046633471143,0.06537856440991163,,0.07227062779877867,
solid,0.05560725294053555,0.07766633427568845,0.06731721336642901,0.17438533902168274,0.08490814853991781,0.11449539909760158,0.12401543110609055,0.10284552187658846,0.09704875167398179,0.10990227993577718,0.08502164930105209,0.1024022503268151,0.09215658282240231,0.0825299600358395,0.08241852714369695,0.11122190012879994,0.08335258652056966,,0.06610570289194584,0.1084850374609232,0.07436076262775733,,0.10424688926621063,0.09244023055902549,0.06872374626497428,0.14522003941237926,0.1322040393948555,0.1285806573354281,0.10503735232891308,0.11369954833182795,0.08881881632483922,,0.10638887360692025,0.08103051160772641
nonsolid,0.11496623729666074,0.12792774103581905,0.13471314084270727,0.10611990218361218,0.12556705346856362,0.10918844491243362,0.09766778919626684,0.10813842620700598,0.11007558113672364,0.12957268339588487,0.11292460777385291,0.1300983302295208,0.1331125529749053,0.12380412441873273,0.11750133609092689,0.12705166577950291,0.08823672878659433,0.0921073021988074,0.10678104796771253,0.10885241710477406,0.12810230006774267,0.11405465006828308,0.13725432945835975,0.12641635441627258,0.11777544308167237,0.14134776060070312,0.1401540363828341,0.12805943832629257,0.12367885012892967,0.1250917828745312,0.12021641455816501,0.15560382604599,0.12765791962241255,0.13000677824020385
tense,0.1820510529841368,0.2363554044564565,0.2546965488616158,0.22793676446263605,0.20186040792965665,0.1891819309314777,0.19223253347656943,0.17951548154481123,0.22090570054487468,0.2391595739208482,0.16067781131349357,0.25393938609669287,0.16645984529801036,0.19330825914557165,0.23157067596912384,0.2854648054142793,0.1556532048132448,0.23245049342513086,0.17220699760997504,0.15345272100107235,0.2129456988740258,,0.2668913013168744,0.24184701268572406,0.20431267118879726,0.31493602840252866,0.22569975902636846,0.239293006559213,0.23851550513735184,0.2580367273038572,0.1807785461155268,0.2279866576194763,0.2571205216295579,0.25404828786849976
relaxed,0.08407798249806676,0.10040510870102379,0.10716838285326957,0.0904132251938184,0.10033423892325825,0.08123606691757838,0.07701350084465483,0.08787423198421797,0.09104031744983888,0.1062646101605385,0.09394988919399222,0.1000122872646898,0.11097915768623352,0.10201716533413639,0.09316116249239123,0.08992584291342143,0.07142601740595542,,0.08294063427581869,0.08689634036272764,0.09500461503079063,0.09953337907791138,0.12193735440572102,0.09760651475674398,0.09245272157223601,0.11777259161074956,0.1519138664007187,0.10347228855998428,0.11139044037887029,0.10125576418179733,0.09218049375340343,,0.09832405057307836,0.10740944370627403
dangerous,0.1418620018022401,0.17008881121873856,0.1985387628277143,0.11268956462542216,0.17319003992566936,0.15994199026714673,0.1379972619470209,0.11180431817968686,0.1743386797606945,0.18619784271965426,0.13223151269961486,0.2224677468960484,0.13223333470523357,0.16132622238780772,0.19158423826098442,0.22882057067293388,0.10843886906901995,0.13362369562188783,0.12768199833783697,0.1459853295236826,0.15968124620747148,,0.20545698950688043,0.19221029746713061,0.18136837859364116,0.2497907921206206,0.2191953965359264,0.197165886250635,0.19483962608501315,0.21246759817004204,0.1610315683133462,0.21954034268856049,0.22206559342642626,0.18061798810958862
safe,0.028383775055408476,0.03208571804627296,0.033015043823979795,0.013598883524537086,0.03040189694147557,0.02523100482566016,0.024743349744460068,0.0245938009836457,0.026352978719953905,0.03285727917518414,0.02468215596930283,0.02966511237124602,0.0265428208746016,0.033141767702010626,0.028809895439605628,0.028534167911857367,0.02193832077468053,,0.025352932384931574,0.023147715876499813,0.02989691933212073,,0.033739795584393585,0.029407384287979867,0.026999528985470533,0.033982272570331894,0.028437378505865734,0.029270470204452673,0.03158589400351047,0.028713751860238886,0.028000341029837728,,0.031174257439984518,0.02946415450423956
