,ŋ,ɡ,ʃ,l,m,k,b,ɪ,θ,s,o,d,v,ð,f,ʊ,j,ɑ,ɹ,ʌ,w,h,ɔ,ə,ɛ,z,a,e,u,i,æ,t,p,n
calming,0.10087691460336957,0.0774056992183129,0.06863760901615024,0.08137843356682704,0.07254321527268205,0.0751642875728153,0.07885287160223181,0.08197777945062389,0.08609317615628242,0.07125318626111204,0.10877324640750885,0.08135802241472098,,0.0816865935921669,0.07679953697052869,,0.06880883553198405,0.07302148210314605,0.0808581078890711,0.07713649169142757,0.06812258204445243,0.06719890236854553,0.07427826585868995,0.08594422787427902,0.09917908906936646,0.053698278963565826,0.07746169840296109,0.047495026141405106,0.05618306474858209,0.06391775167801163,0.07647288218140602,0.07165748726290005,0.08002691618774248,0.07919806082333837
hard,0.1251267642803388,0.11017545413873765,0.08618296026859594,0.1132425118899234,0.07672202532344005,0.10392979433453536,0.11385197453200817,0.11837079198587508,0.10353152034804225,0.10765011010296417,0.07188315689563751,0.12031760045460292,0.07030687977870305,,0.09304052963852882,0.12479897867888212,0.07353175558694978,0.10868239441475311,0.11877769139568203,0.12255366871209994,0.07384499121548199,0.11555409032319273,0.09585463280152333,0.1518370062451471,0.10149484574794769,0.07890535704791546,0.07110161483287811,0.13684978491316238,0.06876965733649938,0.0897183072721136,0.09715693665837699,0.12272388860583305,0.09973528779582265,0.11349676534229396
happy,0.1236926659476012,0.09565215443189327,0.07583341654390097,0.11427058618781823,0.06285257916897535,0.09375153047343095,0.09449033682736066,0.11632386476008429,,0.08920262629787128,0.0974474810063839,0.12533483933657408,,,0.08533279970288277,,0.05643122850192918,0.0978933108272031,0.12191419979851496,0.08311117824632674,0.08179942836674552,0.08435963599809579,0.1159508884884417,0.1281312880665064,,0.025447485968470573,0.06804514676332474,,0.06450652369213375,0.05945432116277516,0.10359062866440841,0.10115475049958779,0.10494816934482919,0.10693671256303787
harsh,0.23093487033920904,0.21005905652418733,0.1732809874554013,0.21334075697121166,0.17527601788652705,0.1929583998950752,0.2073286748668061,0.20642572218208638,0.2248321371152997,0.20496322158898148,0.16075252167259654,0.22223934651382507,0.1810153778642416,,0.18462191160135674,0.2015606090426445,0.158373372318844,0.20317952664092528,0.2255657169660297,0.22150143484274545,0.15079342456800596,0.18346868107716244,0.18233322966843843,0.2735391085686749,0.21317239990457892,0.1538930000627742,0.14775119655366456,0.20756653603166342,0.14113837977250418,0.16982851266537025,0.1895353655138659,0.23323921015686241,0.17640157731910866,0.2208186765596018
mellow,0.11562152120929498,0.11886132265562596,0.09872727934271097,0.11897398427956635,0.09543922318047598,0.09884228099447985,0.11926325224339962,0.1127805669062041,0.12226597405970097,0.10083828804393609,0.10201545059680939,0.1131772273392589,0.14532728493213654,0.11620479822158813,0.11301058088970739,,0.09302811487577856,0.10436189989559352,0.11435370635369728,0.11560501438983972,0.087517282137504,0.06894771242514253,0.08550482589219298,0.13752337415581165,0.16976074874401093,0.0981151657178998,0.08285396884788167,0.13253459831078848,0.07327468257397413,0.07369993046364363,0.11168499159462311,0.10237657384843463,0.10617408252531482,0.09806645344942808
heavy,0.12249863591599972,0.10175160380701224,0.09419226036830382,0.11038830747658557,0.07406886368989944,0.09740673837441842,0.10317897384888247,0.13357161697266356,0.10763342057665189,0.09693422580532955,0.07127745375037194,0.10649713219115228,0.02629894856363535,,0.08184117501458296,0.0750216655433178,0.05580506375169053,0.09548259575967677,0.11356508819800284,0.11784101329460929,0.07468140276947192,0.09680869278963655,0.08818460270189322,0.14442848600447178,0.12186738923192024,0.1053486417979002,0.06683863854656617,0.07008493691682816,0.0630878135561943,0.11404346742413261,0.08213468972179624,0.1196581497310828,0.09609408382522433,0.11528376589218775
inhibited,0.24089552812716541,0.21291419410187265,0.15754586830735207,0.19984106634828178,0.1667112699151039,0.17827723594382405,0.16106170834973454,0.19907823448831385,0.19053774178028107,0.18830747551777782,0.2847284972667694,0.18074752969874275,0.25866392254829407,,0.17203104721777368,0.23036808148026466,0.1849665290210396,0.18495356664061546,0.23260100816304868,0.16825516166863963,0.1658060363261029,0.11760037671774626,0.18236947006412915,0.25224939982096356,0.15533772110939026,,0.27374655434063505,0.17312403544783592,0.13760021105408668,0.14483852411309878,0.17695140689611435,0.2053857460477442,0.15255248288695628,0.23345178477466105
masculine,0.24879755199487721,0.25350769029723275,0.17884129686997488,0.23909173731546884,0.17063343715529108,0.2272659729461412,0.2352817834665378,0.24678016713885373,0.22915207346280417,0.20924741093968524,0.17964346947915413,0.24988635230277265,0.14732089887062708,,0.1995310858474113,0.18046460300683975,0.16593847974486972,0.24087290444544385,0.2676317331545493,0.2655363868497595,0.15850584366371934,0.2181554479818595,0.20055622926780156,0.32918833050785995,0.28388805580990656,0.16852718272379466,0.14081032098167473,0.3765913744767507,0.12242470562458038,0.2478381716646254,0.1937548734602474,0.2701415285185168,0.19714813069047699,0.2612001116459186
feminine,0.08413591874497277,0.08421951284011205,0.06537856440991163,0.07191068207612261,0.06510260153342695,0.05995492848257224,0.07313733423749606,0.07716372708479563,,0.06552010532468558,,0.07121853530406952,,0.0786595270037651,0.07880430881466184,,0.07816978306932883,0.0681854027012984,0.07572046633471143,0.07227062779877867,0.05793490447103977,0.0560805710653464,0.052187446504831314,0.08694812249053609,0.09445444494485855,0.053456444293260574,0.07902963335315387,0.05875593423843384,0.05598879000172019,0.05666678520324438,0.07135149911046028,0.07374170184906187,0.06790890834397739,0.07995236582226223
solid,0.10424688926621063,0.1285806573354281,0.08881881632483922,0.10990227993577718,0.08502164930105209,0.09704875167398179,0.07766633427568845,0.10503735232891308,0.08103051160772641,0.08241852714369695,0.09215658282240231,0.06731721336642901,,,0.08490814853991781,,0.10284552187658846,0.09244023055902549,0.11369954833182795,0.10638887360692025,0.06610570289194584,0.11449539909760158,0.06872374626497428,0.14522003941237926,0.1322040393948555,0.1084850374609232,0.05560725294053555,0.17438533902168274,0.08335258652056966,0.12401543110609055,0.07436076262775733,0.11122190012879994,0.0825299600358395,0.1024022503268151
nonsolid,0.13725432945835975,0.12805943832629257,0.12021641455816501,0.12957268339588487,0.11292460777385291,0.11007558113672364,0.12792774103581905,0.12367885012892967,0.13000677824020385,0.11750133609092689,0.1331125529749053,0.13471314084270727,0.0921073021988074,0.11405465006828308,0.12556705346856362,0.15560382604599,0.10813842620700598,0.12641635441627258,0.1250917828745312,0.12765791962241255,0.10678104796771253,0.10918844491243362,0.11777544308167237,0.14134776060070312,0.1401540363828341,0.10885241710477406,0.11496623729666074,0.10611990218361218,0.08823672878659433,0.09766778919626684,0.12810230006774267,0.12705166577950291,0.12380412441873273,0.1300983302295208
tense,0.2668913013168744,0.239293006559213,0.1807785461155268,0.2391595739208482,0.16067781131349357,0.22090570054487468,0.2363554044564565,0.23851550513735184,0.25404828786849976,0.23157067596912384,0.16645984529801036,0.2546965488616158,0.23245049342513086,,0.20186040792965665,0.2279866576194763,0.17951548154481123,0.24184701268572406,0.2580367273038572,0.2571205216295579,0.17220699760997504,0.1891819309314777,0.20431267118879726,0.31493602840252866,0.22569975902636846,0.15345272100107235,0.1820510529841368,0.22793676446263605,0.1556532048132448,0.19223253347656943,0.2129456988740258,0.2854648054142793,0.19330825914557165,0.25393938609669287
relaxed,0.12193735440572102,0.10347228855998428,0.09218049375340343,0.1062646101605385,0.09394988919399222,0.09104031744983888,0.10040510870102379,0.11139044037887029,0.10740944370627403,0.09316116249239123,0.11097915768623352,0.10716838285326957,,0.09953337907791138,0.10033423892325825,,0.08787423198421797,0.09760651475674398,0.10125576418179733,0.09832405057307836,0.08294063427581869,0.08123606691757838,0.09245272157223601,0.11777259161074956,0.1519138664007187,0.08689634036272764,0.08407798249806676,0.0904132251938184,0.07142601740595542,0.07701350084465483,0.09500461503079063,0.08992584291342143,0.10201716533413639,0.1000122872646898
dangerous,0.20545698950688043,0.197165886250635,0.1610315683133462,0.18619784271965426,0.13223151269961486,0.1743386797606945,0.17008881121873856,0.19483962608501315,0.18061798810958862,0.19158423826098442,0.13223333470523357,0.1985387628277143,0.13362369562188783,,0.17319003992566936,0.21954034268856049,0.11180431817968686,0.19221029746713061,0.21246759817004204,0.22206559342642626,0.12768199833783697,0.15994199026714673,0.18136837859364116,0.2497907921206206,0.2191953965359264,0.1459853295236826,0.1418620018022401,0.11268956462542216,0.10843886906901995,0.1379972619470209,0.15968124620747148,0.22882057067293388,0.16132622238780772,0.2224677468960484
