a	AH0
glop	G L AA0 P
glotter	G L AA0 T ER0
glub	G L AH0 B
gluck	G L AH0 K
glug	G L AH0 G
glut-glut	G L AH0 T G L AH0 T
glutter	G L AH0 T ER0
gnacche	N AE0 K
gnar	N AA0 ER0
gnip	N IH0 P
gobble	G AA0 B AH0 L
goggle	G AA0 G AH0 L
golf	G AA0 L F
gollar	G AA0 L ER0
golly	G AA0 L IY0
goo	G UW0
goo-goo	G UW0 G UW0
gothele	G AH0 TH AH0 L
granch	G R AE0 N CH
grash	G R AE0 SH
grassil	G R AE0 S IH0 L
graunch	G R AO0 N CH
grent	G R EH0 N T
grinch	G R IH0 N CH
grint	G R IH0 N T
grolling	G R OW0 W L IH0 NG
grouze	G R UW0 Z
growl	G R AA0 W L
grump	G R AH0 M P
grumph	G R AH0 M F
gubble	G AH0 B AH0 L
guddle	G AH0 D AH0 L
guff	G AH0 F
guffaw	G AH0 F AO0
guggle	G UW0 G AH0 L
guit-guit	G T G T
gulch	G AH0 L CH
gulp	G AH0 L P
gurk	G ER0 K
gurl	G ER0 L
gurr	G ER0
hallali	HH AE0 L AA0 L IY0
harr	HH AE0 R
harrumph	HH AE0 R AH0 M F
hau-hau	HH AA0 W HH AA0 W
haunk-haunk	HH AO0 NG K HH AO0 NG K
haw	HH AO0
haw-haw	HH AO0 HH AO0
heck	HH EH0 K
hee-haw	HH IY0 HH AO0
hish	HH IH0 SH
hiss	HH IH0 S
hist	HH IH0 S T
hiz	HH IH0 Z
hod	HH AA0 D
honk	HH AA0 NG K
honky-tonk	HH AO0 NG K IY0 T AO0 NG K
hooshtah	HH UW0 SH T AH0
hoss	HH AA0 S
hough	HH AH0 F
hub a dub	HH AH0 B AH0 D AH0 B
huh-uh	HH AH0 AH0
hurr	HH ER0
hush	HH AH0 SH
huss	HH AH0 S
hustling	HH AH0 S AH0 L IH0 NG
huzz	HH AH0 Z
iddy-umpty	IH0 D D IY0 AH0 M P T IY0
ish	IH0 SH
jabber	JH AE0 B ER0
javer	JH EY0 Y V ER0
jabble	JH AE0 B AH0 L
jam	JH AE0 M
jar	JH AA0 R
jarg	JH AA0 R G
jasch	JH AE0 SH
jaup	JH AO0 P
jing	JH IH0 NG
jingle	JH IH0 NG G AH0 L
jink	JH IH0 NG K
jirble	JH ER0 B AH0 L
